,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
196,4,1.0,1.0,3.0,72.0,2,14,89
197,2,1.0,1.0,1.0,175.0,60,1125,8
198,1,1.0,1.0,1.0,95.0,4,1125,27
199,2,1.0,1.0,1.0,60.0,91,150,13
200,6,2.0,1.0,2.0,91.0,91,1125,33
201,1,1.0,1.0,1.0,65.0,30,1124,7
202,3,1.0,1.0,1.0,125.0,3,180,116
203,4,1.0,1.0,1.0,120.0,91,1125,201
204,2,1.0,1.0,1.0,175.0,32,95,252
205,5,2.0,2.0,3.0,298.0,29,1125,28
206,2,1.0,1.0,1.0,95.0,2,1124,230
207,2,1.0,2.5,1.0,70.0,91,1125,92
208,2,1.0,1.0,1.0,275.0,3,365,109
209,3,1.0,1.0,1.0,550.0,91,1125,0
210,4,0.0,1.0,2.0,90.0,2,1125,101
211,8,3.0,1.0,4.0,260.0,2,1125,46
212,4,1.0,1.0,2.0,248.0,2,365,27
213,1,1.0,1.0,1.0,98.0,31,1125,5
214,3,1.0,1.0,1.0,288.0,2,90,248
215,4,1.0,1.0,2.0,119.0,1,1125,4
216,6,3.0,1.0,3.0,150.0,32,90,31
217,2,1.0,1.0,1.0,100.0,1,1125,0
218,1,1.0,2.5,1.0,50.0,2,1125,22
219,4,3.0,1.0,3.0,120.0,28,500,69
220,5,4.0,3.0,4.0,325.0,3,1125,16
221,6,2.0,1.0,2.0,125.0,1,100,166
222,1,1.0,1.0,1.0,38.0,29,1125,6
223,2,1.0,1.0,1.0,70.0,29,365,51
224,1,1.0,1.0,1.0,88.0,6,92,218
225,2,0.0,1.0,1.0,100.0,28,1125,19
226,1,1.0,1.0,1.0,33.0,29,1000,0
227,2,1.0,1.5,1.0,95.0,2,1125,201
228,7,4.0,3.0,5.0,250.0,31,365,273
229,2,0.0,1.0,1.0,179.0,91,180,177
230,2,1.0,1.0,1.0,210.0,2,21,2
231,4,1.0,1.0,1.0,225.0,28,365,235
232,3,1.0,1.0,2.0,213.0,29,1125,8
233,3,1.0,1.0,2.0,213.0,29,1125,9
234,6,2.0,1.0,2.0,112.0,7,1125,1
235,4,2.0,1.0,2.0,85.0,1,31,124
236,4,1.0,2.5,3.0,52.0,28,365,91
237,2,1.0,1.5,2.0,85.0,2,1125,52
238,5,2.0,1.0,2.0,120.0,32,1124,341
239,3,1.0,1.0,1.0,195.0,2,75,272
240,2,1.0,1.0,1.0,50.0,1,10,220
241,2,1.0,1.0,2.0,50.0,1,10,234
242,2,1.0,1.0,1.0,120.0,2,1125,179
243,2,1.0,1.0,1.0,50.0,1,10,189
244,5,2.0,2.0,3.0,298.0,91,1125,18
245,2,1.0,1.0,1.0,289.0,9,1125,69
246,4,1.0,1.0,1.0,250.0,2,7,3
247,2,1.0,2.0,1.0,85.0,1,1125,26
248,2,1.0,1.0,1.0,229.0,9,1125,52
249,7,3.0,1.5,3.0,265.0,1,29,508
250,2,1.0,1.0,1.0,125.0,3,1125,247
251,2,1.0,1.0,1.0,279.0,9,1125,46
252,8,3.0,2.5,3.0,200.0,2,1125,10
253,3,1.0,1.0,2.0,239.0,29,1125,1
254,2,1.0,1.0,1.0,225.0,2,365,15
255,2,0.0,1.0,1.0,259.0,9,1125,21
256,2,1.0,1.0,1.0,99.0,2,1125,125
257,2,1.0,1.0,2.0,75.0,1,7,65
258,2,1.0,1.0,1.0,98.0,2,90,38
259,4,2.0,1.0,2.0,250.0,1,1125,0
260,2,1.0,1.0,1.0,80.0,2,7,141
261,3,1.0,1.0,1.0,91.0,2,1120,306
262,4,0.0,1.0,0.0,175.0,28,1125,66
263,2,1.0,1.0,1.0,175.0,1,6,7
264,2,0.0,1.0,1.0,90.0,1,1125,4
265,4,2.0,2.5,2.0,280.0,3,1125,8
266,2,1.0,1.5,1.0,100.0,5,999,1
267,1,1.0,1.0,1.0,170.0,3,9999,5
268,2,1.0,1.0,1.0,71.0,2,14,105
269,2,1.0,2.0,1.0,150.0,1,1125,0
270,7,2.0,1.0,3.0,300.0,28,1125,137
271,4,1.0,1.0,2.0,175.0,28,1125,77
272,3,1.0,1.0,1.0,259.0,5,1125,43
273,5,3.0,2.0,4.0,138.0,60,220,8
274,5,2.0,2.0,3.0,312.0,29,1125,7
275,1,1.0,1.0,1.0,92.0,2,1124,224
276,1,1.0,1.5,1.0,50.0,2,1125,32
277,2,0.0,1.0,1.0,150.0,1,1125,84
278,2,0.0,1.0,1.0,150.0,1,1125,75
279,2,0.0,1.0,1.0,150.0,1,1125,88
280,5,2.0,2.0,3.0,289.0,91,1125,1
281,3,1.0,1.0,2.0,209.0,29,1125,1
282,2,0.0,1.0,1.0,150.0,1,1124,103
283,2,0.0,1.0,1.0,259.0,9,1125,44
284,3,1.0,1.0,2.0,239.0,29,1125,3
285,6,2.0,2.0,3.0,329.0,3,365,39
286,11,5.0,3.5,5.0,250.0,32,1125,68
287,6,4.0,2.0,6.0,350.0,28,1125,33
288,2,1.0,1.0,1.0,38.0,1,5,204
289,1,1.0,1.0,1.0,63.0,2,1124,257
290,8,3.0,1.5,4.0,269.0,3,90,86
291,2,1.0,1.0,1.0,195.0,3,1123,16
292,3,0.0,1.0,2.0,130.0,2,1120,448
293,5,2.0,1.0,3.0,159.0,28,365,154
294,6,2.0,1.0,3.0,159.0,28,365,160
295,5,2.0,1.0,3.0,289.0,28,365,136
296,4,1.0,1.0,2.0,85.0,91,1125,158
297,2,1.0,1.0,0.0,118.0,28,190,6
298,1,1.0,1.0,1.0,89.0,2,180,92
299,9,4.0,2.0,4.0,195.0,2,1125,189
300,6,2.0,1.5,2.0,199.0,1,14,3
301,1,1.0,1.0,1.0,90.0,2,7,94
302,1,1.0,2.0,1.0,36.0,29,1125,7
303,1,1.0,1.0,1.0,36.0,29,1125,1
304,4,2.0,2.0,3.0,310.0,30,1125,13
305,2,1.0,1.0,1.0,100.0,1,20,13
306,8,2.0,1.0,7.0,250.0,1,1125,165
307,2,0.0,1.0,1.0,150.0,1,1125,81
308,1,1.0,2.0,1.0,36.0,29,1000,4
309,2,1.0,1.0,1.0,100.0,3,1125,0
310,1,1.0,1.0,1.0,49.0,60,1125,9
311,4,2.0,1.5,2.0,305.0,3,365,66
312,3,1.0,1.0,2.0,250.0,1,1125,1
313,2,1.0,1.0,1.0,65.0,32,1125,22
314,7,2.0,2.0,3.0,135.0,3,1125,105
315,2,1.0,2.0,1.0,41.0,5,1125,3
316,2,1.0,1.0,1.0,65.0,32,1125,24
317,1,10.0,1.0,1.0,24.0,25,1125,13
318,4,1.0,1.0,2.0,200.0,1,1125,5
319,2,0.0,1.5,1.0,200.0,1,1125,1
320,2,1.0,1.5,1.0,130.0,2,1125,270
321,2,1.0,2.5,1.0,122.0,2,1125,205
322,2,0.0,1.0,1.0,150.0,2,7,8
323,2,0.0,1.0,2.0,99.0,180,1124,324
324,3,1.0,1.0,2.0,195.0,30,1125,3
325,4,1.0,1.0,2.0,150.0,2,366,233
326,2,2.0,1.0,1.0,250.0,2,1125,6
327,3,2.0,1.0,2.0,200.0,2,1125,90
328,4,2.0,1.5,2.0,300.0,2,1125,109
329,8,3.0,1.5,4.0,88.0,1,50,218
330,2,1.0,1.0,1.0,60.0,3,90,21
331,2,1.0,1.0,1.0,76.0,2,1125,120
332,2,2.0,1.0,2.0,147.0,30,1125,22
333,4,2.0,1.5,2.0,500.0,3,365,50
334,10,5.0,2.5,5.0,250.0,5,1125,3
335,4,2.0,1.0,2.0,180.0,2,31,207
336,1,1.0,1.0,1.0,75.0,1000,1000,0
337,12,3.0,3.5,6.0,350.0,2,1125,9
338,1,1.0,1.0,1.0,42.0,30,1125,6
339,2,1.0,1.0,1.0,62.0,31,365,81
340,6,3.0,1.0,4.0,110.0,2,1125,247
341,4,1.0,1.0,1.0,249.0,3,300,46
342,3,2.0,1.0,2.0,130.0,28,1125,22
343,4,2.0,1.0,2.0,195.0,2,1125,27
344,2,1.0,1.0,1.0,240.0,2,1125,1
345,1,1.0,1.0,1.0,82.0,2,60,59
346,6,3.0,2.0,3.0,285.0,3,29,110
347,4,0.0,1.0,2.0,159.0,3,60,120
348,5,2.0,1.0,3.0,185.0,2,8,176
349,2,1.0,1.0,1.0,225.0,3,6,1
350,2,1.0,1.0,1.0,46.0,2,40,110
351,6,2.0,1.0,2.0,166.0,3,1125,125
352,2,1.0,1.0,1.0,110.0,2,1125,72
353,2,1.0,1.0,1.0,295.0,30,120,7
354,2,1.0,1.0,0.0,81.0,91,1125,35
355,3,1.0,1.0,2.0,115.0,28,1125,86
356,4,2.0,1.0,2.0,148.0,1,1125,322
357,4,1.0,1.0,2.0,167.0,29,1125,77
358,2,0.0,1.0,1.0,150.0,1,1125,99
359,5,2.0,1.0,2.0,300.0,91,1125,98
360,3,2.0,2.0,2.0,225.0,3,90,74
361,4,2.0,1.0,1.0,95.0,5,1125,0
362,2,1.0,1.0,1.0,80.0,1,20,94
363,2,0.0,1.0,1.0,150.0,1,1125,94
364,2,0.0,1.0,1.0,150.0,1,1125,142
365,2,1.0,1.0,1.0,70.0,1,1125,0
366,2,0.0,1.0,2.0,250.0,3,365,34
367,4,2.0,1.5,2.0,300.0,3,60,201
368,2,1.0,1.0,1.0,62.0,1,1125,0
369,4,2.0,2.0,2.0,198.0,5,1125,5
370,2,1.0,1.0,1.0,125.0,1,7,115
371,2,1.0,1.0,1.0,115.0,3,9,4
372,2,1.0,2.0,1.0,69.0,1,1125,8
373,5,2.0,2.0,3.0,186.0,28,1125,4
374,5,2.0,2.0,3.0,350.0,1,1125,1
375,1,1.0,1.0,1.0,45.0,1,1125,0
376,2,1.0,1.0,1.0,69.0,2,90,206
377,1,1.0,1.0,1.0,88.0,6,92,154
378,4,2.0,1.5,3.0,91.0,2,31,73
379,2,1.0,1.0,1.0,270.0,3,1125,32
380,2,1.0,1.0,1.0,260.0,2,4,0
381,6,3.0,2.5,2.0,495.0,14,30,15
382,2,1.0,1.0,1.0,64.0,2,1125,124
383,2,1.0,1.0,1.0,100.0,3,1125,0
384,2,1.0,1.0,1.0,75.0,3,1124,346
385,2,1.0,1.0,1.0,69.0,30,150,170
386,2,1.0,1.0,1.0,150.0,1,90,97
387,6,2.0,1.0,2.0,74.0,4,1125,79
388,3,1.0,1.0,2.0,127.0,3,1125,6
389,8,4.0,2.0,5.0,600.0,2,75,173
390,2,1.0,1.0,1.0,120.0,7,9,0
391,2,1.0,1.0,1.0,65.0,1,180,42
392,2,1.0,1.0,1.0,199.0,2,1125,16
393,4,0.0,1.0,2.0,159.0,3,90,94
394,4,1.0,1.0,1.0,180.0,30,365,107
395,4,3.0,1.0,5.0,200.0,28,1125,23
396,2,1.0,1.5,1.0,105.0,2,1125,138
397,1,1.0,1.0,1.0,65.0,3,30,228
398,2,1.0,1.5,1.0,70.0,2,120,104
399,4,1.0,1.0,2.0,260.0,1,31,96
400,2,2.0,1.0,2.0,230.0,3,1125,3
401,4,2.0,1.0,1.0,119.0,7,60,7
402,5,2.0,1.0,2.0,240.0,2,125,165
403,6,3.0,2.0,3.0,245.0,1,1125,146
404,6,4.0,2.5,4.0,375.0,3,12,91
405,3,1.0,1.0,1.0,147.0,1,1125,197
406,4,2.0,1.0,2.0,240.0,2,75,173
407,4,2.0,1.0,2.0,125.0,2,75,150
408,5,2.0,1.5,2.0,375.0,2,75,200
409,6,2.0,1.0,2.0,212.0,91,180,201
410,5,2.0,2.0,3.0,298.0,29,1125,33
411,3,1.0,1.0,1.0,85.0,1,1125,117
412,1,1.0,1.0,1.0,80.0,3,39,136
413,4,1.0,1.0,0.0,200.0,28,1125,74
414,2,1.0,1.0,2.0,154.0,3,87,185
415,10,5.0,2.0,6.0,250.0,3,89,106
416,2,1.0,1.0,1.0,72.0,3,1125,52
417,1,1.0,1.0,1.0,45.0,91,120,103
418,14,3.0,2.0,8.0,350.0,28,1125,15
419,1,1.0,1.0,1.0,50.0,28,1125,9
420,2,1.0,2.0,2.0,149.0,1,1125,220
421,2,1.0,1.0,1.0,80.0,1,5,102
422,3,1.0,1.0,2.0,90.0,90,1125,31
423,4,2.0,1.5,2.0,395.0,2,1125,54
424,4,1.0,1.0,2.0,259.0,2,1125,83
425,4,1.0,1.0,2.0,200.0,4,1125,24
426,1,1.0,1.0,1.0,200.0,1,1125,0
427,4,1.0,1.0,2.0,100.0,2,14,149
428,2,1.0,1.0,1.0,129.0,29,180,255
429,2,1.0,1.0,1.0,90.0,30,365,6
430,2,0.0,1.0,1.0,150.0,1,1125,106
431,2,0.0,1.0,1.0,150.0,1,1125,53
432,2,0.0,1.0,1.0,150.0,1,1125,93
433,2,0.0,1.0,1.0,150.0,1,1125,113
434,2,0.0,1.0,1.0,150.0,1,1125,85
435,2,0.0,1.0,1.0,150.0,1,1125,129
436,2,1.0,1.0,1.0,89.0,1,60,201
437,2,1.0,2.5,1.0,70.0,91,1125,26
438,5,2.0,2.0,3.0,181.0,28,1125,8
439,4,1.0,1.0,1.0,195.0,29,365,99
440,1,1.0,2.0,1.0,33.0,29,1000,11
441,2,0.0,1.0,1.0,150.0,1,1125,59
442,1,1.0,2.0,1.0,37.0,91,1000,5
443,2,1.0,1.0,1.0,185.0,180,250,102
444,5,2.0,2.0,3.0,179.0,28,1125,1
445,2,0.0,1.0,1.0,150.0,1,1125,101
446,2,0.0,1.0,1.0,150.0,1,1125,49
447,2,1.0,1.0,1.0,60.0,1,1125,0
448,2,0.0,1.0,1.0,150.0,1,1125,155
449,2,0.0,1.0,1.0,150.0,1,1125,139
450,2,0.0,1.0,1.0,150.0,1,1125,118
451,1,1.0,4.0,1.0,59.0,5,1125,0
452,3,2.0,1.0,1.0,190.0,2,1125,35
453,4,2.0,2.0,2.0,250.0,91,1125,1
454,2,1.0,1.5,1.0,47.0,91,1125,0
455,5,2.0,2.0,3.0,188.0,28,1125,10
456,2,1.0,1.0,1.0,195.0,4,1125,88
457,2,1.0,2.0,1.0,150.0,1,1125,25
458,4,2.0,1.5,2.0,250.0,2,1125,0
459,4,2.0,1.5,2.0,200.0,1,1125,6
460,2,1.0,1.0,1.0,200.0,1,1125,8
461,2,1.0,1.0,1.0,225.0,1,1125,2
462,1,1.0,1.0,1.0,35.0,1,1125,2
463,2,1.0,1.0,1.0,50.0,28,1125,16
464,1,1.0,1.0,1.0,75.0,1,7,10
465,6,2.0,1.0,4.0,200.0,2,30,38
466,1,1.0,2.0,1.0,34.0,29,1000,7
467,1,1.0,2.0,1.0,34.0,91,1124,6
468,2,1.0,1.0,1.0,68.0,91,1125,17
469,3,1.0,1.0,1.0,185.0,2,75,239
470,1,1.0,1.0,1.0,33.0,91,1125,11
471,4,2.0,1.0,2.0,250.0,2,1124,45
472,2,1.0,1.0,1.0,110.0,1,1125,117
473,2,1.0,1.0,1.0,100.0,1,1125,183
474,4,2.0,1.0,2.0,145.0,91,1125,5
475,3,1.0,1.0,1.0,135.0,3,1124,15
476,3,0.0,1.0,1.0,56.0,1,365,110
477,4,1.0,1.0,4.0,130.0,2,29,217
478,7,3.0,2.0,3.0,60.0,3,1125,23
479,2,1.0,1.5,1.0,80.0,29,180,11
480,2,1.0,1.0,1.0,80.0,28,450,5
481,1,1.0,1.0,1.0,60.0,91,1125,1
482,1,1.0,1.0,1.0,55.0,28,1125,7
483,5,3.0,1.0,4.0,285.0,3,29,172
484,2,1.0,1.0,1.0,150.0,3,1125,258
485,2,1.0,1.0,1.0,150.0,1,1125,0
486,4,2.0,1.0,2.0,300.0,1,1124,88
487,4,2.0,1.0,2.0,195.0,29,365,161
488,2,1.0,1.0,1.0,100.0,3,7,3
489,2,0.0,1.0,1.0,150.0,1,1125,47
490,2,0.0,1.0,1.0,150.0,1,1124,102
491,2,0.0,1.0,1.0,150.0,1,1124,109
492,2,0.0,1.0,1.0,150.0,1,1124,109
493,2,0.0,1.0,1.0,150.0,1,1124,151
494,10,3.0,2.0,7.0,225.0,32,1125,106
495,2,0.0,1.0,1.0,150.0,1,1125,100
496,2,0.0,1.0,1.0,150.0,1,1125,54
497,2,1.0,2.0,1.0,40.0,5,1125,13
498,1,1.0,1.0,1.0,50.0,28,1125,2
499,1,1.0,1.0,1.0,31.0,91,1125,11
500,1,1.0,1.0,1.0,198.0,91,365,15
501,2,0.0,1.0,1.0,150.0,1,1125,127
502,2,0.0,1.0,1.0,150.0,1,1125,94
503,2,0.0,1.0,1.0,150.0,1,1124,92
504,2,0.0,1.0,1.0,150.0,1,1124,111
505,2,0.0,1.0,1.0,150.0,1,1125,101
506,7,4.0,2.5,5.0,650.0,4,30,40
507,2,0.0,1.0,1.0,150.0,1,1125,123
508,4,1.0,1.0,2.0,165.0,29,365,189
509,4,1.0,1.0,2.0,200.0,30,1125,74
510,4,2.0,2.0,2.0,149.0,1,1125,26
511,3,1.0,1.0,2.0,139.0,3,1125,9
512,8,5.0,2.5,6.0,598.0,1,20,58
513,2,0.0,1.0,1.0,200.0,3,1125,238
514,2,1.0,2.0,1.0,200.0,14,49,2
515,6,3.0,2.0,3.0,769.0,2,1125,80
516,2,0.0,1.0,1.0,150.0,1,1125,146
517,4,2.0,1.0,2.0,100.0,4,1125,0
518,2,1.0,1.0,1.0,220.0,91,1125,8
519,2,1.0,1.5,2.0,68.0,2,93,110
520,2,1.0,1.0,1.0,95.0,5,8,6
521,1,1.0,1.5,1.0,65.0,1,1125,297
522,2,1.0,2.0,1.0,72.0,2,10,293
523,2,0.0,1.0,1.0,150.0,1,1125,85
524,2,0.0,1.0,1.0,150.0,1,1125,74
525,2,0.0,1.0,1.0,150.0,1,1125,87
526,3,1.0,1.0,1.0,175.0,2,1125,204
527,2,0.0,1.0,1.0,150.0,1,1125,154
528,2,1.0,1.5,1.0,150.0,28,40,79
529,2,0.0,1.0,1.0,150.0,1,1124,162
530,2,0.0,1.0,1.0,150.0,91,1125,85
531,6,3.0,1.5,3.0,180.0,28,1125,6
532,1,1.0,1.5,1.0,90.0,1,1125,0
533,2,0.0,1.0,1.0,150.0,1,1125,104
534,2,1.0,1.0,1.0,180.0,1,1125,0
535,2,1.0,1.0,1.0,76.0,1,1125,2
536,1,1.0,1.5,1.0,53.0,1,7,350
537,3,1.0,1.0,1.0,75.0,1,1125,131
538,4,2.0,1.0,2.0,160.0,7,90,242
539,2,0.0,1.0,1.0,150.0,1,1124,83
540,2,0.0,1.0,1.0,99.0,91,1125,22
541,2,0.0,1.0,1.0,150.0,1,1125,93
542,2,1.0,1.0,1.0,75.0,91,1125,4
543,2,1.0,1.0,1.0,144.0,29,1124,25
544,2,1.0,1.0,1.0,100.0,28,1125,1
545,2,1.0,1.0,1.0,100.0,91,1125,1
546,2,1.0,1.0,1.0,85.0,28,1125,6
547,2,1.0,1.0,1.0,215.0,1,1125,167
548,2,0.0,1.0,1.0,250.0,1,1125,0
549,2,1.0,1.0,1.0,79.0,1,1125,2
550,2,1.0,1.0,1.0,179.0,2,1125,2
551,2,0.0,1.0,1.0,150.0,1,1125,82
552,4,2.0,1.0,2.0,200.0,2,1125,5
553,3,1.0,1.0,3.0,124.0,28,1125,1
554,4,2.0,1.0,2.0,185.0,91,1125,355
555,2,1.0,1.0,1.0,95.0,91,1125,32
556,4,0.0,1.0,2.0,150.0,3,1125,16
557,3,1.0,1.0,2.0,139.0,28,1125,0
558,2,0.0,1.0,1.0,150.0,1,1125,62
559,3,1.0,1.0,2.0,141.0,28,1125,1
560,5,2.0,2.0,3.0,175.0,28,1125,9
561,5,2.0,2.0,2.0,189.0,28,1125,3
562,5,2.0,2.0,3.0,177.0,28,1125,4
563,5,2.0,2.0,3.0,179.0,28,1125,5
564,5,2.0,2.0,3.0,189.0,28,1125,5
565,3,1.0,1.0,1.0,90.0,28,30,186
566,5,2.0,2.0,3.0,176.0,28,1125,4
567,2,1.0,1.5,1.0,125.0,1,1125,145
568,2,1.0,1.5,1.0,125.0,1,1125,137
569,5,3.0,1.5,3.0,400.0,4,1125,8
570,2,0.0,1.0,1.0,150.0,1,1125,111
571,6,3.0,1.0,3.0,165.0,30,1125,150
572,3,1.0,1.0,2.0,62.0,31,1125,151
573,4,1.0,2.5,2.0,45.0,28,1125,62
574,2,0.0,1.0,1.0,119.0,2,1124,305
575,2,1.0,1.0,1.0,99.0,2,1125,2
576,7,2.0,1.0,5.0,270.0,2,90,72
577,2,1.0,1.0,1.0,175.0,2,2,3
578,2,1.0,1.5,1.0,125.0,1,1125,132
579,5,2.0,2.0,3.0,182.0,28,1125,10
580,5,2.0,2.0,3.0,175.0,28,1125,3
581,5,2.0,2.0,2.0,199.0,91,1125,1
582,5,2.0,2.0,3.0,183.0,28,1125,6
583,5,2.0,1.0,3.0,192.0,2,233,76
584,4,2.0,2.0,2.0,400.0,1,1125,0
585,1,1.0,2.0,1.0,50.0,2,1125,0
586,2,1.0,1.0,1.0,95.0,91,1125,396
587,2,0.0,1.0,1.0,150.0,3,1125,78
588,3,1.0,1.0,2.0,149.0,2,1125,224
589,6,2.0,1.0,2.0,270.0,2,75,209
590,1,1.0,1.0,1.0,50.0,30,1125,12
591,2,1.0,1.0,1.0,239.0,2,30,195
592,2,1.0,1.0,1.0,85.0,1,1125,63
593,2,1.0,2.0,1.0,50.0,1,1125,27
594,2,0.0,1.0,1.0,215.0,1,60,149
595,2,2.0,1.0,3.0,235.0,30,1125,9
596,5,2.0,1.0,2.0,298.0,2,1125,0
597,5,3.0,1.0,3.0,185.0,92,1125,314
598,2,1.0,1.0,1.0,156.0,3,1125,41
599,1,1.0,1.5,1.0,45.0,28,100,11
600,1,1.0,1.0,1.0,60.0,1,1125,0
601,2,1.0,1.0,1.0,85.0,1,1125,416
602,2,0.0,1.0,1.0,150.0,1,1125,149
603,2,1.0,1.0,2.0,90.0,4,1122,122
604,2,1.0,1.0,1.0,84.0,4,14,95
605,2,1.0,1.0,1.0,225.0,1,1125,6
606,4,2.0,1.0,2.0,300.0,2,1125,47
607,2,1.0,1.0,1.0,99.0,1,1125,149
608,2,1.0,1.0,1.0,56.0,91,1125,51
609,4,2.0,2.0,2.0,300.0,3,1125,0
610,6,3.0,2.0,3.0,250.0,29,1125,61
611,1,1.0,1.0,1.0,75.0,1,1125,0
612,2,1.0,1.0,1.0,150.0,3,365,15
613,2,1.0,1.0,1.0,145.0,4,1125,24
614,4,1.0,1.0,2.0,99.0,2,30,167
615,1,1.0,1.0,1.0,60.0,30,1125,12
616,12,4.0,1.0,6.0,249.0,1,12,8
617,3,1.0,1.0,2.0,213.0,29,1125,1
618,2,1.0,1.0,1.0,150.0,91,1125,12
619,3,1.0,1.0,2.0,109.0,7,1125,0
620,4,2.0,1.0,2.0,75.0,28,360,58
621,2,0.0,1.0,1.0,110.0,1,1125,2
622,2,0.0,1.0,1.0,150.0,1,1125,113
623,2,1.0,1.0,1.0,69.0,1,7,279
624,1,1.0,1.0,1.0,160.0,90,1124,15
625,2,1.0,1.0,1.0,60.0,1,1125,1
626,2,1.0,1.0,1.0,130.0,1,1125,1
627,2,1.0,1.0,1.0,37.0,91,1125,11
628,2,1.0,1.0,1.0,85.0,91,1125,138
629,6,2.0,2.0,2.0,300.0,2,75,152
630,4,2.0,1.0,2.0,120.0,91,1125,144
631,2,1.0,1.0,1.0,50.0,1,1125,66
632,5,3.0,2.0,3.0,450.0,91,1125,1
633,4,2.0,1.0,2.0,100.0,1,1125,131
634,2,1.0,1.0,1.0,185.0,91,1125,23
635,6,3.0,1.0,3.0,175.0,91,1125,3
636,4,2.0,1.0,2.0,150.0,91,1125,1
637,2,1.0,1.0,1.0,100.0,91,1125,1
638,2,1.0,1.0,1.0,70.0,91,1125,267
639,2,1.0,1.0,1.0,90.0,91,1125,1
640,4,2.0,1.0,2.0,190.0,91,1125,0
641,1,1.0,1.0,1.0,28.0,91,1125,11
642,3,1.0,1.0,1.0,289.0,9,1125,36
643,5,1.0,1.0,2.0,159.0,91,1125,2
644,4,1.0,1.0,2.0,75.0,1,14,174
645,8,2.0,1.0,4.0,99.0,1,30,27
646,3,1.0,1.0,1.0,64.0,1,20,230
647,2,1.0,1.0,1.0,59.0,1,14,200
648,2,1.0,1.0,1.0,99.0,1,1125,160
649,2,1.0,1.0,1.0,144.0,29,1124,5
650,2,1.0,1.0,1.0,80.0,91,1125,0
651,2,1.0,1.0,1.0,289.0,9,1125,39
652,1,1.0,1.0,1.0,159.0,91,1125,0
653,4,2.0,2.5,3.0,210.0,30,365,0
654,2,1.0,1.0,1.0,150.0,91,1125,4
655,1,1.0,1.0,1.0,35.0,30,190,13
656,1,1.0,1.0,1.0,38.0,30,190,13
657,2,1.0,1.0,2.0,39.0,91,1125,198
658,2,0.0,1.0,1.0,199.0,32,95,117
659,4,2.0,1.0,2.0,195.0,29,365,166
660,2,1.0,1.0,1.0,70.0,91,1125,2
661,2,0.0,1.0,2.0,79.0,180,1124,87
662,2,1.0,1.0,1.0,80.0,91,365,71
663,2,1.0,1.0,1.0,150.0,91,1125,125
664,2,1.0,1.0,1.0,289.0,91,1125,107
665,2,1.0,2.0,1.0,50.0,91,1125,1
666,2,1.0,1.0,1.0,150.0,4,200,49
667,6,2.0,1.0,2.0,192.0,91,1125,0
668,2,1.0,1.5,1.0,77.0,91,1125,2
669,2,1.0,1.0,1.0,159.0,91,1125,10
670,2,1.0,1.0,1.0,50.0,91,1125,94
671,3,1.0,3.0,2.0,219.0,9,1125,0
672,3,1.0,1.0,2.0,209.0,9,1125,0
673,6,2.0,2.0,2.0,150.0,91,1125,29
674,5,2.0,2.0,3.0,245.0,9,1125,0
675,3,1.0,1.0,2.0,195.0,9,1125,0
676,4,1.0,1.0,2.0,67.0,1,14,178
677,3,1.0,1.0,2.0,139.0,3,1125,2
678,3,1.0,1.0,2.0,134.0,3,1125,1
679,3,1.0,1.0,2.0,130.0,3,1125,2
680,5,2.0,2.0,3.0,179.0,3,1125,2
681,5,2.0,2.0,3.0,175.0,3,1125,5
682,5,2.0,2.0,3.0,189.0,3,1125,2
683,3,1.0,1.0,2.0,129.0,9,1125,3
684,3,1.0,1.0,2.0,125.0,3,1125,2
685,5,2.0,2.0,3.0,179.0,9,1125,0
686,5,2.0,2.0,3.0,175.0,9,1125,0
687,5,2.0,2.0,3.0,174.0,3,1125,6
688,2,1.0,1.0,1.0,119.0,91,1124,6
689,2,1.0,1.0,1.0,150.0,4,30,39
690,3,1.0,1.0,2.0,135.0,9,1125,0
691,3,1.0,1.0,2.0,189.0,91,1125,0
692,3,1.0,1.0,2.0,133.0,9,1125,0
693,5,2.0,1.0,0.0,200.0,2,1125,171
694,1,1.0,2.5,1.0,80.0,30,365,3
695,3,1.0,1.0,2.0,139.0,28,1125,2
696,8,4.0,2.0,6.0,250.0,6,1125,9
697,2,1.0,1.0,1.0,70.0,1,2,19
698,5,2.0,1.0,3.0,200.0,30,365,43
699,6,3.0,2.0,3.0,250.0,91,1125,18
700,5,3.0,1.0,3.0,84.0,91,1125,104
701,2,0.0,1.0,1.0,219.0,91,1125,102
702,4,1.0,1.0,1.0,229.0,91,1125,66
703,2,0.0,1.0,1.0,209.0,91,1125,163
704,6,2.0,1.0,4.0,167.0,4,1125,30
705,1,1.0,1.0,1.0,34.0,90,1125,12
706,4,4.0,1.0,4.0,115.0,30,1125,3
707,2,1.0,2.0,1.0,75.0,91,1125,24
708,4,1.0,1.0,1.0,166.0,2,1125,19
709,5,3.0,1.5,3.0,249.0,3,10,25
710,6,3.0,1.0,3.0,84.0,91,1125,3
711,2,1.0,1.0,1.0,134.0,8,180,51
712,4,2.0,1.0,2.0,245.0,28,365,65
713,6,4.0,4.5,4.0,850.0,4,1124,55
714,2,1.0,1.0,1.0,120.0,91,1125,1
715,4,2.0,1.0,2.0,125.0,30,90,1
716,1,1.0,2.0,1.0,59.0,91,1125,0
717,4,0.0,1.0,2.0,85.0,28,1124,44
