,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
2593,4,2.0,1.0,2.0,400.0,91,1125,0
2594,3,1.0,1.0,1.0,199.0,91,1125,1
2595,4,2.0,1.0,2.0,400.0,91,1125,1
2596,3,0.0,1.0,1.0,199.0,91,1125,0
2597,3,0.0,1.0,1.0,199.0,91,1125,0
2598,3,1.0,1.0,1.0,199.0,91,1125,3
2599,3,1.0,1.0,1.0,199.0,91,1125,0
2600,3,0.0,1.0,1.0,199.0,91,1125,1
2601,3,0.0,1.0,1.0,199.0,91,1125,0
2602,6,3.0,1.0,3.0,292.0,2,1125,12
2603,4,2.0,1.0,2.0,158.0,2,1125,17
2604,5,2.0,1.0,2.0,125.0,91,1125,2
2605,2,1.0,1.0,1.0,59.0,2,30,39
2606,2,1.0,1.0,1.0,59.0,2,30,24
2607,5,1.0,1.0,2.0,99.0,91,1125,71
2608,3,3.0,1.0,3.0,83.0,2,7,20
2609,1,1.0,1.0,1.0,70.0,91,365,2
2610,2,1.0,1.0,1.0,95.0,91,120,7
2611,3,1.0,1.0,1.0,198.0,91,1125,47
2612,2,0.0,1.0,2.0,155.0,1,1125,32
2613,3,1.0,1.0,2.0,147.0,91,1125,37
2614,2,1.0,1.5,1.0,75.0,91,1125,5
2615,2,1.0,2.0,1.0,89.0,91,1125,8
2616,2,1.0,2.0,1.0,55.0,91,1125,13
2617,2,1.0,2.0,1.0,55.0,91,1125,15
2618,2,1.0,2.0,1.0,10.0,91,1125,16
2619,2,1.0,1.5,1.0,75.0,1,1102,12
2620,3,1.0,1.0,1.0,289.0,9,1125,1
2621,2,1.0,1.5,1.0,59.0,1,60,67
2622,6,2.0,1.0,3.0,110.0,7,15,10
2623,2,0.0,1.0,2.0,90.0,1,1125,41
2624,1,1.0,1.0,1.0,60.0,91,1125,0
2625,6,3.0,2.5,4.0,299.0,2,1125,28
2626,2,1.0,2.0,1.0,55.0,91,1125,9
2627,2,1.0,2.0,1.0,55.0,91,1125,6
2628,3,1.0,2.0,1.0,60.0,91,1125,5
2629,2,1.0,1.5,1.0,75.0,91,1125,6
2630,2,1.0,1.5,1.0,75.0,91,1125,11
2631,2,1.0,1.5,1.0,75.0,91,1125,12
2632,3,1.0,1.0,1.0,127.0,91,1125,22
2633,3,1.0,1.0,1.0,199.0,91,1125,4
2634,3,1.0,1.0,1.0,199.0,91,1125,4
2635,5,2.0,1.0,2.0,299.0,91,1125,10
2636,2,1.0,1.5,1.0,75.0,91,1125,11
2637,2,1.0,1.5,1.0,75.0,91,1125,4
2638,2,1.0,1.5,1.0,75.0,91,1125,10
2639,2,1.0,1.0,1.0,100.0,91,1125,0
2640,4,1.0,1.0,2.0,100.0,91,1125,1
