,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
437,100%,,6.0,2,Private room,1.0,2.5,1.0,70.0,$20.00,$0.00,91,1125,26,42.31434,-71.06075,Boston,02125,MA
438,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,181.0,$100.00,,28,1125,8,42.344570000000004,-71.09980999999999,Boston,02215,MA
439,100%,,1.0,4,Entire home/apt,1.0,1.0,1.0,195.0,$50.00,$250.00,29,365,99,42.33633,-71.07415999999999,Boston,02118,MA
440,91%,,30.0,1,Private room,1.0,2.0,1.0,33.0,$40.00,$300.00,29,1000,11,42.317190000000004,-71.08099,Boston,02119,MA
441,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,59,42.34366,-71.07562,Boston,02116,MA
442,91%,,30.0,1,Private room,1.0,2.0,1.0,37.0,$50.00,$300.00,91,1000,5,42.31771,-71.07907,Boston,02119,MA
443,,,1.0,2,Entire home/apt,1.0,1.0,1.0,185.0,$50.00,$250.00,180,250,102,42.343340000000005,-71.09559,Boston,02215,MA
444,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,179.0,$100.00,,28,1125,1,42.34375,-71.10035,Boston,02215,MA
445,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,101,42.34368,-71.077,Boston,02116,MA
446,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$85.00,,1,1125,49,42.34394,-71.07743,Boston,02114,MA
447,,,1.0,2,Private room,1.0,1.0,1.0,60.0,,,1,1125,0,42.31927,-71.11325,Boston,02130,MA
448,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,155,42.35031,-71.08285,Boston,02116,MA
449,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$85.00,$0.00,1,1125,139,42.3493,-71.08346999999999,Boston,02116,MA
450,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,118,42.35047,-71.08197,Boston,02116,MA
451,,,1.0,1,Private room,1.0,4.0,1.0,59.0,,,5,1125,0,42.315,-71.0564,Boston,02125,MA
452,100%,,1.0,3,Entire home/apt,2.0,1.0,1.0,190.0,$150.00,"$4,500.00",2,1125,35,42.30814,-71.11794,Boston,02130,MA
453,,,1.0,4,Entire home/apt,2.0,2.0,2.0,250.0,$100.00,$500.00,91,1125,1,42.321329999999996,-71.10777,Boston,02130,MA
454,,,1.0,2,Private room,1.0,1.5,1.0,47.0,,,91,1125,0,42.34329,-71.09732,Boston,02215,MA
455,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,188.0,$100.00,,28,1125,10,42.34506,-71.10173,Boston,02215,MA
456,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,195.0,$89.00,$200.00,4,1125,88,42.34415,-71.08795,Boston,02115,MA
457,75%,,2.0,2,Private room,1.0,2.0,1.0,150.0,$100.00,$100.00,1,1125,25,42.3153,-71.09976999999999,Boston,02130,MA
458,,,1.0,4,Entire home/apt,2.0,1.5,2.0,250.0,$80.00,,2,1125,0,42.34941,-71.08443,Boston,02115,MA
459,,,1.0,4,Entire home/apt,2.0,1.5,2.0,200.0,$50.00,,1,1125,6,42.36638,-71.05704,Boston,02113,MA
460,100%,,1.0,2,Private room,1.0,1.0,1.0,200.0,,,1,1125,8,42.38005,-71.06324000000001,Boston,02129,MA
461,,,1.0,2,Entire home/apt,1.0,1.0,1.0,225.0,,,1,1125,2,42.36623,-71.05904,Boston,02114,MA
462,,,1.0,1,Private room,1.0,1.0,1.0,35.0,,,1,1125,2,42.35507,-71.13263,ALLSTON,02134,MA
463,100%,,3.0,2,Private room,1.0,1.0,1.0,50.0,,,28,1125,16,42.28228,-71.11681999999999,Boston,02131,MA
464,100%,,2.0,1,Private room,1.0,1.0,1.0,75.0,,,1,7,10,42.31848,-71.101,Boston,02119,MA
465,100%,,2.0,6,Entire home/apt,2.0,1.0,4.0,200.0,$95.00,$100.00,2,30,38,42.27697,-71.11776,Boston,02131,MA
466,91%,,30.0,1,Private room,1.0,2.0,1.0,34.0,$40.00,$300.00,29,1000,7,42.317040000000006,-71.07979,Boston,02119,MA
467,91%,,30.0,1,Private room,1.0,2.0,1.0,34.0,$40.00,$300.00,91,1124,6,42.31711,-71.08078,Boston,02119,MA
468,,,1.0,2,Private room,1.0,1.0,1.0,68.0,$35.00,$0.00,91,1125,17,42.37202,-71.03703,Boston,02128,MA
469,100%,,21.0,3,Entire home/apt,1.0,1.0,1.0,185.0,$85.00,$450.00,2,75,239,42.36503,-71.05099,Boston,02113,MA
470,100%,,8.0,1,Private room,1.0,1.0,1.0,33.0,$25.00,,91,1125,11,42.23689,-71.13291,Boston,02136,MA
471,60%,,1.0,4,Entire home/apt,2.0,1.0,2.0,250.0,$25.00,$0.00,2,1124,45,42.33683,-71.0695,Boston,02118,MA
472,100%,,3.0,2,Private room,1.0,1.0,1.0,110.0,$25.00,$100.00,1,1125,117,42.29347,-71.0558,Boston,02122,MA
473,100%,,3.0,2,Private room,1.0,1.0,1.0,100.0,$25.00,$150.00,1,1125,183,42.292629999999996,-71.05575,Boston,02122,MA
474,,,1.0,4,Entire home/apt,2.0,1.0,2.0,145.0,$80.00,$400.00,91,1125,5,42.306059999999995,-71.11516,Boston,02130,MA
475,,,1.0,3,Entire home/apt,1.0,1.0,1.0,135.0,$40.00,$0.00,3,1124,15,42.34831,-71.09199,Boston,02215,MA
476,,,1.0,3,Entire home/apt,0.0,1.0,1.0,56.0,$30.00,$100.00,1,365,110,42.31289,-71.08315999999999,Boston,02121,MA
477,100%,,2.0,4,Entire home/apt,1.0,1.0,4.0,130.0,$60.00,$0.00,2,29,217,42.31527,-71.10846,Boston,02130,MA
478,,,1.0,7,Entire home/apt,3.0,2.0,3.0,60.0,$60.00,$0.00,3,1125,23,42.29456,-71.05566,Boston,02122,MA
479,100%,,1.0,2,Private room,1.0,1.5,1.0,80.0,$30.00,$100.00,29,180,11,42.32725,-71.07559,Boston,02119,MA
480,100%,,2.0,2,Entire home/apt,1.0,1.0,1.0,80.0,$150.00,$500.00,28,450,5,42.341879999999996,-71.14321,Boston,02135,MA
481,,,1.0,1,Private room,1.0,1.0,1.0,60.0,$50.00,$300.00,91,1125,1,42.36185,-71.06835,Boston,02114,MA
482,100%,,1.0,1,Private room,1.0,1.0,1.0,55.0,$20.00,$0.00,28,1125,7,42.3345,-71.1066,Boston,02115,MA
483,90%,,1.0,5,Entire home/apt,3.0,1.0,4.0,285.0,$95.00,$0.00,3,29,172,42.34554,-71.13819000000001,Boston,02135,MA
484,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$35.00,$100.00,3,1125,258,42.33062,-71.05558,Boston,02127,MA
485,,,1.0,2,Private room,1.0,1.0,1.0,150.0,,,1,1125,0,42.38245,-71.0706,Boston,02129,MA
486,99%,,88.0,4,Entire home/apt,2.0,1.0,2.0,300.0,$90.00,$0.00,1,1124,88,42.34558,-71.07669,Boston,02116,MA
487,100%,,2.0,4,Entire home/apt,2.0,1.0,2.0,195.0,$50.00,$250.00,29,365,161,42.34552,-71.06939,Boston,02118,MA
488,,,1.0,2,Private room,1.0,1.0,1.0,100.0,$10.00,,3,7,3,42.35087,-71.12918,Allston,02134,MA
489,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$85.00,$0.00,1,1125,47,42.34935,-71.08201,Boston,02116,MA
490,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1124,102,42.349509999999995,-71.08205,Boston,02114,MA
491,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1124,109,42.35083,-71.08359,Boston,02114,MA
492,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$85.00,$0.00,1,1124,109,42.350970000000004,-71.08144,Boston,02116,MA
493,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1124,151,42.35082,-71.08204,Boston,02116,MA
494,100%,,13.0,10,Entire home/apt,3.0,2.0,7.0,225.0,$200.00,$500.00,32,1125,106,42.33354,-71.04848,Boston,02127,MA
495,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$85.00,$0.00,1,1125,100,42.35079,-71.08164000000001,Boston,02116,MA
496,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,54,42.34323,-71.07749,Boston,02116,MA
497,,,5.0,2,Private room,1.0,2.0,1.0,40.0,$10.00,,5,1125,13,42.36084,-71.1356,Boston,02134,MA
498,100%,,3.0,1,Private room,1.0,1.0,1.0,50.0,,,28,1125,2,42.28222,-71.11519,Boston,02131,MA
499,100%,,8.0,1,Private room,1.0,1.0,1.0,31.0,$15.00,,91,1125,11,42.23594,-71.13246,Boston,02136,MA
500,100%,,4.0,1,Entire home/apt,1.0,1.0,1.0,198.0,$150.00,$200.00,91,365,15,42.35062,-71.09486,Boston,02215,MA
501,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,127,42.34422,-71.07538000000001,Boston,02116,MA
502,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$85.00,,1,1125,94,42.34505,-71.07576999999999,Boston,02116,MA
503,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1124,92,42.36092,-71.06275,Boston,02114,MA
504,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1124,111,42.359359999999995,-71.06439,Boston,02114,MA
505,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,101,42.36087,-71.06299,Boston,02114,MA
506,100%,,0.0,7,Entire home/apt,4.0,2.5,5.0,650.0,$150.00,"$1,500.00",4,30,40,42.35703,-71.07056,Boston,02108,MA
507,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,123,42.360929999999996,-71.06398,Boston,02114,MA
508,100%,,2.0,4,Entire home/apt,1.0,1.0,2.0,165.0,$50.00,$250.00,29,365,189,42.3437,-71.06922,Boston,02118,MA
509,91%,,11.0,4,Entire home/apt,1.0,1.0,2.0,200.0,$125.00,,30,1125,74,42.34055,-71.07511,Boston,02118,MA
510,99%,,21.0,4,Entire home/apt,2.0,2.0,2.0,149.0,$99.00,$0.00,1,1125,26,42.3623,-71.06851999999999,Boston,02114,MA
511,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,139.0,$100.00,,3,1125,9,42.36503,-71.06914,Boston,02114,MA
512,100%,,4.0,8,Entire home/apt,5.0,2.5,6.0,598.0,$200.00,"$1,000.00",1,20,58,42.33182,-71.03399,Boston,02127,MA
513,100%,,1.0,2,Entire home/apt,0.0,1.0,1.0,200.0,$50.00,$150.00,3,1125,238,42.36033,-71.06792,Boston,02114,MA
514,,,1.0,2,Entire home/apt,1.0,2.0,1.0,200.0,$90.00,$250.00,14,49,2,42.341409999999996,-71.08173000000001,Boston,02118,MA
515,96%,,95.0,6,Entire home/apt,3.0,2.0,3.0,769.0,$130.00,$500.00,2,1125,80,42.35738,-71.07135,Boston,02114,MA
516,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,146,42.3596,-71.06390999999999,Boston,02114,MA
517,,,1.0,4,Entire home/apt,2.0,1.0,2.0,100.0,$25.00,$500.00,4,1125,0,42.34213,-71.10703000000001,Boston,02215,MA
518,,,1.0,2,Entire home/apt,1.0,1.0,1.0,220.0,$50.00,$0.00,91,1125,8,42.349059999999994,-71.04758000000001,Boston,02210,MA
519,100%,,5.0,2,Private room,1.0,1.5,2.0,68.0,$20.00,$0.00,2,93,110,42.28451,-71.13626,Boston,02131,MA
520,,,1.0,2,Entire home/apt,1.0,1.0,1.0,95.0,$69.00,$250.00,5,8,6,42.3799,-71.0296,Boston,02128,MA
521,100%,,2.0,1,Private room,1.0,1.5,1.0,65.0,$20.00,,1,1125,297,42.35568,-71.16214000000001,Brighton,02135,MA
522,100%,,1.0,2,Private room,1.0,2.0,1.0,72.0,$30.00,$0.00,2,10,293,42.31268,-71.05372,Boston,02125,MA
523,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,85,42.34403,-71.07717,Boston,02116,MA
524,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,74,42.34513,-71.07513,Boston,02116,MA
525,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,87,42.35958,-71.06397,Boston,02114,MA
526,100%,,1.0,3,Entire home/apt,1.0,1.0,1.0,175.0,$75.00,$200.00,2,1125,204,42.34384,-71.07183,Boston,02118,MA
527,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,154,42.35953,-71.06249,Boston,02114,MA
528,,,4.0,2,Entire home/apt,1.0,1.5,1.0,150.0,$25.00,$0.00,28,40,79,42.37005,-71.0417,Boston,02128,MA
529,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1124,162,42.35942,-71.06232,Boston,02114,MA
530,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,91,1125,85,42.36099,-71.06444,Boston,02114,MA
531,100%,,2.0,6,Entire home/apt,3.0,1.5,3.0,180.0,,,28,1125,6,42.25934,-71.11780999999999,Boston,02136,MA
532,,,1.0,1,Private room,1.0,1.5,1.0,90.0,,,1,1125,0,42.29402,-71.15136,Boston,02132,MA
533,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,104,42.35934,-71.06291999999999,Boston,02114,MA
534,,,1.0,2,Private room,1.0,1.0,1.0,180.0,,,1,1125,0,42.34203,-71.07256,Boston,02118,MA
535,,,2.0,2,Private room,1.0,1.0,1.0,76.0,$20.00,$200.00,1,1125,2,42.35026,-71.12703,Boston,02134,MA
536,100%,,5.0,1,Private room,1.0,1.5,1.0,53.0,$34.00,$100.00,1,7,350,42.37747,-71.03034,Boston,02128,MA
537,100%,,1.0,3,Private room,1.0,1.0,1.0,75.0,,,1,1125,131,42.24201,-71.12378000000001,Boston,02136,MA
538,100%,,3.0,4,Entire home/apt,2.0,1.0,2.0,160.0,$70.00,$200.00,7,90,242,42.31592,-71.09958,Boston,02119,MA
539,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$85.00,,1,1124,83,42.36084,-71.06413,Boston,02114,MA
540,,,1.0,2,Entire home/apt,0.0,1.0,1.0,99.0,$40.00,"$1,200.00",91,1125,22,42.355270000000004,-71.06109000000001,Boston,02111,MA
541,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,93,42.3453,-71.07749,Boston,02116,MA
542,100%,,22.0,2,Private room,1.0,1.0,1.0,75.0,$150.00,$0.00,91,1125,4,42.32427,-71.05963,Boston,02125,MA
543,96%,,95.0,2,Private room,1.0,1.0,1.0,144.0,$0.00,$0.00,29,1124,25,42.34305,-71.05566999999999,Boston,02127,MA
544,100%,,22.0,2,Private room,1.0,1.0,1.0,100.0,$150.00,$0.00,28,1125,1,42.32485,-71.05936,Boston,02125,MA
545,100%,,22.0,2,Private room,1.0,1.0,1.0,100.0,$150.00,$0.00,91,1125,1,42.32586,-71.05797,Boston,02125,MA
546,100%,,22.0,2,Private room,1.0,1.0,1.0,85.0,$150.00,$0.00,28,1125,6,42.32456,-71.05983,Boston,02125,MA
547,90%,,4.0,2,Entire home/apt,1.0,1.0,1.0,215.0,$70.00,$300.00,1,1125,167,42.34451,-71.0739,Boston,02116,MA
548,,,1.0,2,Entire home/apt,0.0,1.0,1.0,250.0,,,1,1125,0,42.36388,-71.05765,Boston,02113,MA
549,,,1.0,2,Private room,1.0,1.0,1.0,79.0,$25.00,,1,1125,2,42.325540000000004,-71.09756999999999,Boston,02119,MA
550,,,1.0,2,Entire home/apt,1.0,1.0,1.0,179.0,,,2,1125,2,42.35177,-71.05705,Boston,02111,MA
551,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,82,42.34341,-71.07604,Boston,02116,MA
552,,,1.0,4,Entire home/apt,2.0,1.0,2.0,200.0,$70.00,$500.00,2,1125,5,42.33651,-71.05514000000001,Boston,02127,MA
553,99%,,678.0,3,Entire home/apt,1.0,1.0,3.0,124.0,$100.00,,28,1125,1,42.34548,-71.10136999999999,Boston,02215,MA
554,98%,,6.0,4,Entire home/apt,2.0,1.0,2.0,185.0,$40.00,$0.00,91,1125,355,42.374970000000005,-71.03336999999999,Boston,02128,MA
555,,,1.0,2,Private room,1.0,1.0,1.0,95.0,$0.00,$0.00,91,1125,32,42.30513,-71.11423,Jamaica Plain,02130,MA
556,100%,,1.0,4,Entire home/apt,0.0,1.0,2.0,150.0,$60.00,$0.00,3,1125,16,42.32342,-71.07822,Boston,02119,MA
557,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,139.0,$100.00,,28,1125,0,42.3447,-71.10115,Boston,02215,MA
558,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,62,42.34468,-71.07663000000001,Boston,02116,MA
559,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,141.0,$100.00,,28,1125,1,42.34387,-71.10226999999999,Boston,02215,MA
560,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,175.0,$100.00,,28,1125,9,42.34472,-71.0993,Boston,02215,MA
561,99%,,678.0,5,Entire home/apt,2.0,2.0,2.0,189.0,$100.00,,28,1125,3,42.34476,-71.10061999999999,Boston,02215,MA
562,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,177.0,$100.00,,28,1125,4,42.3434,-71.09945,Boston,02215,MA
563,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,179.0,$100.00,,28,1125,5,42.34454,-71.09931,Boston,02215,MA
564,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,189.0,$100.00,,28,1125,5,42.343379999999996,-71.10128,Boston,02215,MA
565,,,1.0,3,Entire home/apt,1.0,1.0,1.0,90.0,$30.00,$0.00,28,30,186,42.359359999999995,-71.06841999999999,Boston,02114,MA
566,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,176.0,$100.00,,28,1125,4,42.345859999999995,-71.10011999999999,Boston,02215,MA
567,100%,,6.0,2,Private room,1.0,1.5,1.0,125.0,$65.00,$200.00,1,1125,145,42.33832,-71.07659,Boston,02118,MA
568,100%,,6.0,2,Private room,1.0,1.5,1.0,125.0,$65.00,$200.00,1,1125,137,42.336059999999996,-71.07477,Boston,02118,MA
569,100%,,6.0,5,Entire home/apt,3.0,1.5,3.0,400.0,$190.00,$600.00,4,1125,8,42.3375,-71.07654000000001,Boston,02118,MA
570,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,111,42.34491,-71.07523,Boston,02116,MA
571,80%,,2.0,6,Entire home/apt,3.0,1.0,3.0,165.0,$95.00,$150.00,30,1125,150,42.34057,-71.1513,Boston,02135,MA
572,100%,,7.0,3,Entire home/apt,1.0,1.0,2.0,62.0,$65.00,$350.00,31,1125,151,42.37672,-71.03655,Boston,02128,MA
573,100%,,28.0,4,Private room,1.0,2.5,2.0,45.0,$30.00,$0.00,28,1125,62,42.27391,-71.16762,West Roxbury,02132,MA
574,100%,,9.0,2,Entire home/apt,0.0,1.0,1.0,119.0,$70.00,$250.00,2,1124,305,42.343059999999994,-71.05173,Boston,02127,MA
575,,,1.0,2,Private room,1.0,1.0,1.0,99.0,$40.00,$150.00,2,1125,2,42.320040000000006,-71.10784,Boston,02130,MA
576,100%,,1.0,7,Entire home/apt,2.0,1.0,5.0,270.0,$100.00,$400.00,2,90,72,42.31102,-71.11899,Boston,02130,MA
577,,,1.0,2,Entire home/apt,1.0,1.0,1.0,175.0,$30.00,,2,2,3,42.34908,-71.1369,Boston,02134,MA
578,100%,,6.0,2,Private room,1.0,1.5,1.0,125.0,$65.00,$200.00,1,1125,132,42.3368,-71.07649,Boston,02118,MA
579,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,182.0,$100.00,,28,1125,10,42.34535,-71.10203,Boston,02215,MA
580,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,175.0,$100.00,,28,1125,3,42.34302,-71.09985999999999,Boston,02215,MA
581,99%,,678.0,5,Entire home/apt,2.0,2.0,2.0,199.0,$100.00,,91,1125,1,42.34472,-71.10175,Boston,02215,MA
582,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,183.0,$100.00,,28,1125,6,42.34507,-71.10144,Boston,02215,MA
583,100%,,3.0,5,Entire home/apt,2.0,1.0,3.0,192.0,$66.00,$699.00,2,233,76,42.314659999999996,-71.09929,Boston,02119,MA
584,,,1.0,4,Entire home/apt,2.0,2.0,2.0,400.0,,,1,1125,0,42.343090000000004,-71.0798,Boston,02118,MA
585,,,1.0,1,Private room,1.0,2.0,1.0,50.0,$15.00,$250.00,2,1125,0,42.36652,-71.05679,Boston,02113,MA
586,100%,,1.0,2,Private room,1.0,1.0,1.0,95.0,$30.00,$250.00,91,1125,396,42.336909999999996,-71.07748000000001,Boston,02118,MA
587,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,3,1125,78,42.34561,-71.07699000000001,Boston,02116,MA
588,100%,,1.0,3,Entire home/apt,1.0,1.0,2.0,149.0,$60.00,$0.00,2,1125,224,42.378679999999996,-71.06338000000001,Charlestown,02129,MA
589,100%,,21.0,6,Entire home/apt,2.0,1.0,2.0,270.0,$145.00,$450.00,2,75,209,42.36858,-71.05359,Boston,02109,MA
590,90%,,10.0,1,Private room,1.0,1.0,1.0,50.0,$30.00,$0.00,30,1125,12,42.38998,-71.00282,Boston,02128,MA
591,100%,,3.0,2,Entire home/apt,1.0,1.0,1.0,239.0,$90.00,$0.00,2,30,195,42.341,-71.15942,Boston,02135,MA
592,100%,,1.0,2,Private room,1.0,1.0,1.0,85.0,$59.00,$0.00,1,1125,63,42.31507,-71.06343000000001,Boston,02125,MA
593,,,5.0,2,Private room,1.0,2.0,1.0,50.0,$30.00,$0.00,1,1125,27,42.36022,-71.13356,Boston,02134,MA
594,90%,,4.0,2,Entire home/apt,0.0,1.0,1.0,215.0,$60.00,$300.00,1,60,149,42.34387,-71.07417,Boston,02116,MA
595,100%,,2.0,2,Entire home/apt,2.0,1.0,3.0,235.0,$150.00,$300.00,30,1125,9,42.35032,-71.08681,Boston,02115,MA
596,,,2.0,5,Entire home/apt,2.0,1.0,2.0,298.0,$30.00,,2,1125,0,42.34807,-71.13539,Boston,02134,MA
597,98%,,6.0,5,Entire home/apt,3.0,1.0,3.0,185.0,$50.00,$0.00,92,1125,314,42.37574,-71.0318,Boston,02128,MA
598,90%,,7.0,2,Private room,1.0,1.0,1.0,156.0,$50.00,$0.00,3,1125,41,42.310629999999996,-71.11184,Boston,02130,MA
599,100%,,2.0,1,Private room,1.0,1.5,1.0,45.0,,,28,100,11,42.2597,-71.11936999999999,Boston,02136,MA
600,,,1.0,1,Private room,1.0,1.0,1.0,60.0,,,1,1125,0,42.35385,-71.1221,Boston,02215,MA
601,100%,,2.0,2,Private room,1.0,1.0,1.0,85.0,$20.00,,1,1125,416,42.315690000000004,-71.10621,Boston,02130,MA
602,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,149,42.36071,-71.06421999999999,Boston,02114,MA
603,90%,,3.0,2,Private room,1.0,1.0,2.0,90.0,$35.00,$250.00,4,1122,122,42.32974,-71.09185,Boston,02119,MA
604,90%,,3.0,2,Private room,1.0,1.0,1.0,84.0,$35.00,$250.00,4,14,95,42.32945,-71.09309,Boston,02119,MA
605,,,1.0,2,Entire home/apt,1.0,1.0,1.0,225.0,,,1,1125,6,42.3584,-71.07021999999999,Boston,02114,MA
606,96%,,95.0,4,Entire home/apt,2.0,1.0,2.0,300.0,$130.00,$500.00,2,1125,47,42.37465,-71.05908000000001,Charlestown,02129,MA
607,99%,,21.0,2,Private room,1.0,1.0,1.0,99.0,$60.00,$0.00,1,1125,149,42.36241,-71.07016999999999,Boston,33131,MA
608,60%,,5.0,2,Private room,1.0,1.0,1.0,56.0,$50.00,$100.00,91,1125,51,42.31162,-71.10385,Boston,02130,MA
609,90%,,3.0,4,Private room,2.0,2.0,2.0,300.0,$70.00,$400.00,3,1125,0,42.32757,-71.09210999999999,Boston,02119,MA
610,100%,,3.0,6,Entire home/apt,3.0,2.0,3.0,250.0,$95.00,$150.00,29,1125,61,42.37575,-71.02989000000001,Boston,02128,MA
611,,,1.0,1,Private room,1.0,1.0,1.0,75.0,,,1,1125,0,42.360479999999995,-71.06416999999999,Boston,02114,MA
612,90%,,7.0,2,Private room,1.0,1.0,1.0,150.0,$65.00,$0.00,3,365,15,42.31026,-71.11256999999999,Boston,02130,MA
613,90%,,7.0,2,Entire home/apt,1.0,1.0,1.0,145.0,$50.00,$0.00,4,1125,24,42.30907,-71.11254,Boston,02130,MA
614,100%,,9.0,4,Entire home/apt,1.0,1.0,2.0,99.0,$49.00,$0.00,2,30,167,42.35198,-71.06111999999999,Boston,02111,MA
615,100%,,25.0,1,Private room,1.0,1.0,1.0,60.0,$50.00,$500.00,30,1125,12,42.289590000000004,-71.06829,Boston,02124,MA
616,100%,,6.0,12,Entire home/apt,4.0,1.0,6.0,249.0,$85.00,$250.00,1,12,8,42.28921,-71.06269,Boston,02124,MA
617,100%,,440.0,3,Entire home/apt,1.0,1.0,2.0,213.0,$100.00,,29,1125,1,42.34322,-71.10008,Boston,02215,MA
618,,,1.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$40.00,,91,1125,12,42.358670000000004,-71.07008,Boston,02114,MA
619,,,1.0,3,Entire home/apt,1.0,1.0,2.0,109.0,,,7,1125,0,42.35317,-71.12556,Boston,02134,MA
620,100%,,1.0,4,Entire home/apt,2.0,1.0,2.0,75.0,$100.00,$500.00,28,360,58,42.35389,-71.15954,Boston,02135,MA
621,,,1.0,2,Entire home/apt,0.0,1.0,1.0,110.0,,,1,1125,2,42.34753,-71.10353,Boston,02215,MA
622,99%,,88.0,2,Entire home/apt,0.0,1.0,1.0,150.0,$69.00,$0.00,1,1125,113,42.35989,-71.06436,Boston,02114,MA
623,100%,,5.0,2,Private room,1.0,1.0,1.0,69.0,$34.00,$100.00,1,7,279,42.3763,-71.03299,East Boston,02128,MA
624,100%,,7.0,1,Entire home/apt,1.0,1.0,1.0,160.0,$225.00,$400.00,90,1124,15,42.3419,-71.07379,Boston,02118,MA
625,,,1.0,2,Private room,1.0,1.0,1.0,60.0,$20.00,,1,1125,1,42.32585,-71.09637,Boston,02119,MA
626,,,1.0,2,Entire home/apt,1.0,1.0,1.0,130.0,$10.00,,1,1125,1,42.35964,-71.06551999999999,Boston,02114,MA
627,,,1.0,2,Private room,1.0,1.0,1.0,37.0,$10.00,,91,1125,11,42.35437,-71.12692,Boston,02134,MA
628,100%,,1.0,2,Private room,1.0,1.0,1.0,85.0,$30.00,,91,1125,138,42.28907,-71.12823,Boston,02131,MA
629,100%,,21.0,6,Entire home/apt,2.0,2.0,2.0,300.0,$140.00,$550.00,2,75,152,42.35015,-71.09115,Boston,02115,MA
630,100%,,2.0,4,Entire home/apt,2.0,1.0,2.0,120.0,$100.00,$0.00,91,1125,144,42.27782,-71.16212,West Roxbury,02132,MA
