,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
3352,99%,,22.0,4,Entire home/apt,2.0,2.0,2.0,270.0,$90.00,$0.00,1,1125,0,42.36531,-71.06238,Boston,02114,MA
3353,99%,,22.0,2,Private room,1.0,1.0,1.0,109.0,$60.00,$0.00,2,1125,2,42.363640000000004,-71.06217,Boston,02114,MA
3354,100%,,0.0,2,Private room,1.0,1.0,1.0,99.0,$40.00,$300.00,1,1125,1,42.33294,-71.10358000000001,Boston,02120,MA
3355,100%,,0.0,2,Private room,1.0,1.0,0.0,99.0,$40.00,$300.00,1,1125,1,42.334740000000004,-71.10308,Boston,02120,MA
3356,100%,,0.0,4,Entire home/apt,1.0,1.0,1.0,150.0,,,91,1125,0,42.348240000000004,-71.0701,Boston,02116,MA
3357,100%,,0.0,3,Entire home/apt,1.0,1.0,1.0,150.0,,,1,27,6,42.374140000000004,-71.04033000000001,Boston,02128,MA
3358,100%,,5.0,2,Private room,1.0,1.0,1.0,75.0,$75.00,,91,180,0,42.31756,-71.1027,Boston,02130,MA
3359,98%,,3.0,4,Entire home/apt,1.0,1.0,3.0,219.0,$89.00,$199.00,2,1125,4,42.35119,-71.06489,Boston,02116,MA
3360,100%,,0.0,2,Entire home/apt,1.0,1.5,1.0,183.0,$200.00,$500.00,32,365,0,42.3572,-71.07235,Boston,02108,MA
3361,100%,,32.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$125.00,$500.00,28,1125,0,42.35354,-71.08142,Boston,02116,MA
3362,100%,,32.0,4,Entire home/apt,1.0,1.0,2.0,125.0,$125.00,$500.00,28,1125,0,42.336999999999996,-71.15063,Boston,02135,MA
3363,98%,,5.0,5,Entire home/apt,2.0,2.0,3.0,200.0,$150.00,$0.00,14,1125,1,42.36654,-71.06421999999999,Boston,02114,MA
3364,100%,,24.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$125.00,$500.00,28,1125,0,42.35373,-71.08103,Boston,02116,MA
3365,100%,,24.0,4,Entire home/apt,1.0,1.0,1.0,125.0,$125.00,$500.00,28,1125,0,42.33892,-71.15163000000001,Boston,02135,MA
3366,97%,,1068.0,4,Entire home/apt,2.0,1.5,2.0,116.0,$175.00,,92,1125,0,42.36238,-71.05372,Boston,MA 02110,MA
3367,97%,,1068.0,4,Entire home/apt,2.0,2.0,2.0,111.0,$175.00,,92,1125,0,42.348279999999995,-71.06254,Boston,MA 02111,MA
3368,97%,,1068.0,4,Entire home/apt,2.0,1.5,2.0,271.0,$175.00,,92,1125,0,42.362559999999995,-71.05181,Boston,MA 02110,MA
3369,97%,,1068.0,2,Entire home/apt,1.0,1.0,1.0,173.0,$150.00,,92,1125,0,42.35714,-71.05676,Boston,MA 02109,MA
3370,100%,,4.0,1,Private room,1.0,1.0,1.0,43.0,$30.00,,91,1125,0,42.292,-71.06734,Boston,02124,MA
